node,masked,real
0,-1,0
1,0,0
2,-1,0
3,-1,0
4,-1,0
5,-1,1
6,0,0
7,1,1
8,-1,0
9,0,0
10,-1,0
11,-1,0
12,-1,0
13,-1,0
14,0,0
15,0,0
16,-1,0
17,0,0
18,-1,1
19,-1,1
20,-1,0
21,-1,0
22,-1,0
23,0,0
24,-1,0
25,1,1
26,-1,1
27,-1,1
28,1,1
29,-1,0
30,-1,0
31,-1,0
32,-1,0
33,-1,1
34,-1,1
35,-1,0
36,-1,0
37,-1,0
38,-1,0
39,-1,0
40,-1,0
41,0,0
42,-1,1
43,-1,0
44,-1,1
45,-1,0
46,-1,0
47,-1,0
48,-1,0
49,0,0
50,1,1
51,-1,1
52,-1,0
53,-1,0
54,-1,0
55,-1,0
56,-1,1
57,-1,1
58,0,0
59,0,0
60,-1,0
61,-1,0
62,0,0
63,-1,0
64,-1,0
65,-1,1
66,-1,0
67,-1,0
68,-1,1
69,-1,1
70,-1,0
71,-1,0
72,-1,1
73,0,0
74,-1,0
75,-1,0
76,-1,1
77,-1,1
78,0,0
79,-1,0
80,1,1
81,0,0
82,-1,1
83,-1,1
84,1,1
85,-1,1
86,1,1
87,-1,1
88,-1,1
89,-1,0
90,-1,0
91,-1,0
92,-1,0
93,-1,0
94,-1,0
95,1,1
96,-1,0
97,-1,0
98,-1,0
99,-1,0
100,-1,0
101,-1,0
102,-1,0
103,-1,1
104,-1,0
105,-1,1
106,-1,0
107,-1,1
108,0,0
109,-1,0
110,-1,0
111,-1,0
112,-1,1
113,-1,1
114,1,1
115,-1,1
116,-1,1
117,-1,0
118,0,0
119,-1,1
120,-1,0
121,0,0
122,-1,0
123,-1,0
124,-1,0
125,-1,0
126,-1,0
127,-1,1
128,-1,0
129,0,0
130,-1,0
131,-1,1
132,-1,1
133,-1,1
134,-1,1
135,-1,1
136,-1,0
137,-1,1
138,-1,1
139,-1,1
140,-1,1
141,1,1
142,-1,0
143,-1,0
144,-1,1
145,-1,0
146,-1,0
147,-1,1
148,1,1
149,-1,0
150,0,0
151,-1,1
152,0,0
153,-1,0
154,-1,0
155,-1,1
156,-1,1
157,-1,0
158,-1,0
159,-1,0
160,-1,1
161,-1,1
162,-1,0
163,-1,0
164,-1,1
165,-1,0
166,-1,1
167,-1,0
168,-1,0
169,-1,0
170,-1,0
171,-1,1
172,-1,1
173,-1,0
174,0,0
175,-1,0
176,-1,0
177,-1,0
178,-1,1
179,0,0
180,-1,1
181,-1,0
182,-1,0
183,-1,1
184,-1,0
185,-1,1
186,-1,1
187,-1,1
188,-1,1
189,-1,1
190,-1,1
191,-1,0
192,0,0
193,-1,0
194,0,0
195,-1,1
196,-1,1
197,-1,1
198,1,1
199,-1,1
200,0,0
201,0,0
202,0,0
203,-1,1
204,-1,0
205,0,0
206,0,0
207,-1,0
208,-1,1
209,-1,1
210,0,0
211,-1,0
212,-1,0
213,1,1
214,-1,1
215,-1,1
216,-1,1
217,-1,1
218,-1,0
219,-1,0
220,-1,0
221,-1,0
222,-1,0
223,1,1
224,-1,0
225,0,0
226,-1,0
227,-1,0
228,-1,0
229,-1,1
230,-1,0
231,1,1
232,-1,0
233,-1,0
234,1,1
235,-1,0
236,1,1
237,-1,0
238,-1,0
239,-1,0
240,-1,0
241,-1,0
242,-1,1
243,-1,0
244,-1,0
245,-1,0
246,-1,0
247,-1,0
248,-1,0
249,-1,1
250,-1,0
251,-1,0
252,-1,0
253,-1,0
254,-1,0
255,-1,1
256,-1,1
257,-1,1
258,-1,1
259,1,1
260,-1,1
261,1,1
262,-1,1
263,1,1
264,-1,1
265,-1,1
266,-1,1
267,-1,1
268,1,1
269,-1,1
270,-1,1
271,-1,1
272,-1,1
273,-1,1
274,1,1
275,-1,1
276,-1,1
277,1,1
278,-1,1
279,-1,1
280,-1,1
281,-1,1
282,-1,1
283,-1,1
284,-1,1
285,-1,0
286,-1,0
287,-1,0
288,-1,0
289,-1,0
290,-1,1
291,-1,0
292,-1,0
293,-1,0
294,-1,0
295,-1,1
296,-1,0
297,-1,0
298,0,0
299,-1,0
300,-1,0
301,-1,0
302,-1,1
303,-1,1
304,-1,0
305,0,0
306,-1,0
307,-1,0
308,1,1
309,-1,0
310,-1,0
311,-1,0
312,-1,0
313,-1,0
314,-1,0
315,-1,0
316,0,0
317,-1,1
318,-1,0
319,-1,1
320,-1,0
321,-1,1
322,-1,0
323,-1,0
324,-1,0
325,0,0
326,-1,0
327,0,0
328,-1,0
329,-1,0
330,0,0
331,-1,0
332,-1,0
333,-1,1
334,-1,0
335,0,0
336,-1,0
337,-1,0
338,-1,0
339,-1,0
340,-1,1
341,-1,0
342,-1,0
343,-1,1
344,-1,0
345,-1,0
346,-1,1
347,-1,0
348,-1,0
349,-1,0
350,0,0
351,-1,0
